Null, scared         , mataku             , Pending                                                                                , 8 , 1, 6
Null, lonely         , mokemoke           , Pending                                                                                , 5 , 1, 6
Null, tears          , roimata            , Pending                                                                                , 9 , 1, 6
Null, to cry         , tangi              , Pending                                                                                , 1 , 1, 6
Null, ice cream      , aihikirimi         , Pending                                                                                , 8 , 1, 7
Null, apple          , aporo              , Pending                                                                                , 7 , 1, 7
Null, feast          , hakari             , Pending                                                                                , 6 , 1, 7
Null, oven           , hangi              , Pending                                                                                , 1 , 1, 7
Null, egg            , heki               , Pending                                                                                , 9 , 1, 7
Null, oil            , hinu               , Pending                                                                                , 7 , 1, 7
Null, fruit          , hua                , Pending                                                                                , 3 , 1, 7
Null, sugar          , huka               , Pending                                                                                , 4 , 1, 7
Null, to drink       , inu                , Pending                                                                                , 4 , 1, 7
Null, 7              , kai                , Pending                                                                                , 10, 1, 7
Null, sea7           , kaimoana           , Pending                                                                                , 5 , 1, 7
Null, seed           , kakano             , Pending                                                                                , 6 , 1, 7
Null, corn           , kanga              , Pending                                                                                , 1 , 1, 7
Null, cup            , kapu               , Pending                                                                                , 9 , 1, 7
Null, carrot         , kareti             , Pending                                                                                , 9 , 1, 7
Null, cake           , keke               , Pending                                                                                , 10, 1, 7
Null, to boil        , kohua              , Pending                                                                                , 9 , 1, 7
Null, sweet potato   , kumara             , Pending                                                                                , 7 , 1, 7
Null, honey          , miere              , Pending                                                                                , 7 , 1, 7
Null, milk           , miraka             , Pending                                                                                , 2 , 1, 7
Null, meat           , miti               , Pending                                                                                , 1 , 1, 7
Null, banana         , panana             , Pending                                                                                , 3 , 1, 7
Null, breakfast      , parakuihi          , Pending                                                                                , 10, 1, 7
Null, butter         , pata               , Pending                                                                                , 6 , 1, 7
Null, flounder (fish), patiki             , Pending                                                                                , 2 , 1, 7
Null, abalone        , paua               , Pending                                                                                , 7 , 1, 7
Null, pear           , pea                , Pending                                                                                , 7 , 1, 7
Null, bacon          , pekana             , Pending                                                                                , 8 , 1, 7
Null, potato         , riwai              , Pending                                                                                , 2 , 1, 7
Null, to cook        , tao                , Pending                                                                                , 4 , 1, 7
Null, tea            , ti                 , Pending                                                                                , 5 , 1, 7
Null, salt           , tote               , Pending                                                                                , 5 , 1, 7
Null, water          , wai                , Pending                                                                                , 2 , 1, 7
Null, juice          , wai                , Pending                                                                                , 3 , 1, 7
Null, half           , haurua             , Pending                                                                                , 2 , 1, 8
Null, how many?      , hia                , Pending                                                                                , 9 , 1, 8
Null, nine           , iwa                , Pending                                                                                , 6 , 1, 8
Null, to count       , kaute              , Pending                                                                                , 6 , 1, 8
Null, graph          , kauwhata           , Pending                                                                                , 3 , 1, 8
Null, kilometre      , kiromita           , Pending                                                                                , 7 , 1, 8
Null, one            , kotahi             , Pending                                                                                , 2 , 1, 8
Null, many           , maha               , Pending                                                                                , 5 , 1, 8
Null, thousand       , mano               , Pending                                                                                , 8 , 1, 8
Null, million        , miriona            , Pending                                                                                , 10, 1, 8
Null, metre          , mita               , Pending                                                                                , 4 , 1, 8
Null, number         , nama               , Pending                                                                                , 2 , 1, 8
Null, six            , ono                , Pending                                                                                , 10, 1, 8
Null, circumference  , pae                , Pending                                                                                , 8 , 1, 8
Null, mathematics    , pangarau           , Pending                                                                                , 6 , 1, 8
Null, hundred        , rau                , Pending                                                                                , 10, 1, 8
Null, five           , rima               , Pending                                                                                , 5 , 1, 8
Null, two            , rua                , Pending                                                                                , 7 , 1, 8
Null, ten            , tekau              , Pending                                                                                , 5 , 1, 8
Null, three          , toru               , Pending                                                                                , 8 , 1, 8
Null, second         , tuarua             , Pending                                                                                , 8 , 1, 8
Null, first          , tuatahi            , Pending                                                                                , 4 , 1, 8
Null, third          , tuatoru            , Pending                                                                                , 9 , 1, 8
Null, fourth         , tuawha             , Pending                                                                                , 3 , 1, 8
Null, four           , wha                , Pending                                                                                , 5 , 1, 8
Null, fire           , ahi                , Pending                                                                                , 8 , 1, 9
Null, cave           , ana                , Pending                                                                                , 4 , 1, 9
Null, shell          , anga               , Pending                                                                                , 3 , 1, 9
Null, planet         , aorangi            , Pending                                                                                , 1 , 1, 9
Null, path           , ara                , Pending                                                                                , 4 , 1, 9
Null, smoke          , auahi              , Pending                                                                                , 1 , 1, 9
Null, river          , awa                , Pending                                                                                , 4 , 1, 9
Null, daylight       , awatea             , Pending                                                                                , 1 , 1, 9
Null, journey        , haerenga           , Pending                                                                                , 3 , 1, 9
Null, flax           , harakeke           , Pending                                                                                , 8 , 1, 9
Null, ice            , huka               , Pending                                                                                , 3 , 1, 9
Null, cloud          , kapua              , Pending                                                                                , 8 , 1, 9
Null, sand           , kirikiri           , Pending                                                                                , 2 , 1, 9
Null, nest           , kohanga            , Pending                                                                                , 5 , 1, 9
Null, stone          , kohatu             , Pending                                                                                , 3 , 1, 9
Null, cold           , makariri           , Pending                                                                                , 1 , 1, 9
Null, stream         , manga              , Pending                                                                                , 9 , 1, 9
Null, garden         , mara               , Pending                                                                                , 5 , 1, 9
Null, rain           , marangai           , Pending                                                                                , 10, 1, 9
Null, mountain       , maunga             , Pending                                                                                , 1 , 1, 9
Null, sea            , moana              , Pending                                                                                , 7 , 1, 9
Null, island         , motu               , Pending                                                                                , 8 , 1, 9
Null, forest         , ngahere            , Pending                                                                                , 1 , 1, 9
Null, wave           , ngaru              , Pending                                                                                , 9 , 1, 9
Null, stone          , pohatu             , Pending                                                                                , 6 , 1, 9
Null, hill           , puke               , Pending                                                                                , 3 , 1, 9
Null, hot spring     , waiariki           , Pending                                                                                , 10, 1, 9
Null, canoe          , waka               , Pending                                                                                , 8 , 1, 9
Null, leader         , ariki              , Pending                                                                                , 6 , 1, 10
Null, pregnant       , hapu               , Pending                                                                                , 2 , 1, 10
Null, healthy        , hauora             , Pending                                                                                , 9 , 1, 10
Null, intellect      , hinengaro          , Pending                                                                                , 2 , 1, 10
Null, friend         , hoa                , Pending                                                                                , 6 , 1, 10
Null, enemy          , hoariri            , Pending                                                                                , 7 , 1, 10
Null, soldier        , hoia               , Pending                                                                                , 1 , 1, 10
Null, nose           , ihu                , Pending                                                                                , 2 , 1, 10
Null, tribe          , iwi                , Pending                                                                                , 8 , 1, 10
Null, speaker        , kaikorero          , Pending                                                                                , 2 , 1, 10
Null, worker         , kaimahi            , Pending                                                                                , 3 , 1, 10
Null, scientist      , kaiputaiao         , Pending                                                                                , 7 , 1, 10
Null, author         , kaituhi            , Pending                                                                                , 4 , 1, 10
Null, manager        , kaiwhakahaere      , Pending                                                                                , 2 , 1, 10
Null, neck           , kaki               , Pending                                                                                , 2 , 1, 10
Null, eye            , kamo               , Pending                                                                                , 8 , 1, 10
Null, face           , kanohi             , Pending                                                                                , 7 , 1, 10
Null, captain        , kapene             , Pending                                                                                , 4 , 1, 10
Null, grandmother    , karani             , Pending                                                                                , 1 , 1, 10
Null, messenger      , karere             , Pending                                                                                , 4 , 1, 10
Null, eye            , karu               , Pending                                                                                , 9 , 1, 10
Null, elder          , kaumatua           , Pending                                                                                , 8 , 1, 10
Null, government     , kawanatanga        , Pending                                                                                , 1 , 1, 10
Null, skin           , kiri               , Pending                                                                                , 6 , 1, 10
Null, aunt           , koka               , Pending                                                                                , 3 , 1, 10
Null, girl           , kotiro             , Pending                                                                                , 8 , 1, 10
Null, queen          , kuini              , Pending                                                                                , 10, 1, 10
Null, head           , mahunga            , Pending                                                                                , 1 , 1, 10
Null, mother         , mama               , Pending                                                                                , 8 , 1, 10
Null, honour         , mana               , Pending                                                                                , 4 , 1, 10
Null, heart          , manawa             , Pending                                                                                , 10, 1, 10
Null, guest          , manuhiri           , Pending                                                                                , 6 , 1, 10
Null, grandchild     , mokopuna           , Pending                                                                                , 2 , 1, 10
Null, rascal         , nanakia            , Pending                                                                                , 6 , 1, 10
Null, tooth          , niho               , Pending                                                                                , 9 , 1, 10
Null, orphan         , pani               , Pending                                                                                , 10, 1, 10
Null, baby           , pepi               , Pending                                                                                , 6 , 1, 10
Null, police officer , pirihimana         , Pending                                                                                , 5 , 1, 10
Null, lungs          , pukapuka           , Pending                                                                                , 4 , 1, 10
Null, young man      , taitama            , Pending                                                                                , 5 , 1, 10
Null, doctor         , takuta             , Pending                                                                                , 5 , 1, 10
Null, daughter       , tamahine           , Pending                                                                                , 8 , 1, 10
Null, child          , tamaiti            , Pending                                                                                , 1 , 1, 10
Null, boy            , tamatane           , Pending                                                                                , 5 , 1, 10
Null, man            , tane               , Pending                                                                                , 7 , 1, 10
Null, 10             , tangata            , Pending                                                                                , 6 , 1, 10
Null, ear            , taringa            , Pending                                                                                , 7 , 1, 10
Null, foot           , waewae             , Pending                                                                                , 2 , 1, 10
Null, mouth          , waha               , Pending                                                                                , 4 , 1, 10
Null, coast          , akau               , Pending                                                                                , 9 , 1, 11
Null, branch         , manga              , Pending                                                                                , 10, 1, 12
Null, grass          , patiti             , Pending                                                                                , 9 , 1, 12
Null, flower         , putiputi           , Pending                                                                                , 8 , 1, 12
Null, leaf           , rau                , Pending                                                                                , 5 , 1, 12
Null, cabbage tree   , ti                 , Pending                                                                                , 4 , 1, 12
Null, student        , akonga             , Pending                                                                                , 6 , 1, 13
Null, 15             , hangarau           , Pending                                                                                , 4 , 1, 13
Null, teacher        , kaiako             , Pending                                                                                , 6 , 1, 13
Null, college        , kareti             , Pending                                                                                , 3 , 1, 13
Null, 13             , kura               , Pending                                                                                , 8 , 1, 13
Null, education      , matauranga         , Pending                                                                                , 8 , 1, 13
Null, knowledge      , mohiotanga         , Pending                                                                                , 1 , 1, 13
Null, science        , putaiao            , Pending                                                                                , 10, 1, 13
Null, study          , tari               , Pending                                                                                , 3 , 1, 13
Null, student        , tauira             , Pending                                                                                , 3 , 1, 13
Null, sport          , hakinakina         , Pending                                                                                , 5 , 1, 14
Null, player         , kaitakaro          , Pending                                                                                , 6 , 1, 14
Null, electricity    , hiko               , Pending                                                                                , 9 , 1, 15
Null, radio          , irirangi           , Pending                                                                                , 2 , 1, 15
Null, machine        , mihini             , Pending                                                                                , 2 , 1, 15
Null, bus            , pahi               , Pending                                                                                , 7 , 1, 15
Null, boat           , poti               , Pending                                                                                , 2 , 1, 15
Null, television     , pouaka whakaata    , Pending                                                                                , 10, 1, 15
